2020-02-17 11:13:57.6888|WARN|MVC_SportGoods.Controllers.ErrorController|404 Error Occured. Path = /img/None_flowers.jpg and QueryString = 
2020-02-17 11:26:28.9190|TRACE|MVC_SportGoods.Controllers.SportGoodsController|Trace Log
2020-02-17 11:26:28.9845|DEBUG|MVC_SportGoods.Controllers.SportGoodsController|Debug Log
2020-02-17 11:26:28.9845|INFO|MVC_SportGoods.Controllers.SportGoodsController|Information Log
2020-02-17 11:26:28.9932|WARN|MVC_SportGoods.Controllers.SportGoodsController|Warning Log
2020-02-17 11:26:28.9932|ERROR|MVC_SportGoods.Controllers.SportGoodsController|Error Log
2020-02-17 11:26:28.9932|FATAL|MVC_SportGoods.Controllers.SportGoodsController|Critical Log
2020-02-17 11:27:01.9484|TRACE|MVC_SportGoods.Controllers.SportGoodsController|Trace Log
2020-02-17 11:27:01.9484|DEBUG|MVC_SportGoods.Controllers.SportGoodsController|Debug Log
2020-02-17 11:27:01.9484|INFO|MVC_SportGoods.Controllers.SportGoodsController|Information Log
2020-02-17 11:27:01.9484|WARN|MVC_SportGoods.Controllers.SportGoodsController|Warning Log
2020-02-17 11:27:01.9484|ERROR|MVC_SportGoods.Controllers.SportGoodsController|Error Log
2020-02-17 11:27:01.9610|FATAL|MVC_SportGoods.Controllers.SportGoodsController|Critical Log
2020-02-17 11:27:18.1702|TRACE|MVC_SportGoods.Controllers.SportGoodsController|Trace Log
2020-02-17 11:27:18.1702|DEBUG|MVC_SportGoods.Controllers.SportGoodsController|Debug Log
2020-02-17 11:27:18.1702|INFO|MVC_SportGoods.Controllers.SportGoodsController|Information Log
2020-02-17 11:27:18.1702|WARN|MVC_SportGoods.Controllers.SportGoodsController|Warning Log
2020-02-17 11:27:18.1850|ERROR|MVC_SportGoods.Controllers.SportGoodsController|Error Log
2020-02-17 11:27:18.1850|FATAL|MVC_SportGoods.Controllers.SportGoodsController|Critical Log
2020-02-17 11:27:23.6723|TRACE|MVC_SportGoods.Controllers.SportGoodsController|Trace Log
2020-02-17 11:27:23.6875|DEBUG|MVC_SportGoods.Controllers.SportGoodsController|Debug Log
2020-02-17 11:27:23.6875|INFO|MVC_SportGoods.Controllers.SportGoodsController|Information Log
2020-02-17 11:27:23.6964|WARN|MVC_SportGoods.Controllers.SportGoodsController|Warning Log
2020-02-17 11:27:23.6964|ERROR|MVC_SportGoods.Controllers.SportGoodsController|Error Log
2020-02-17 11:27:23.6964|FATAL|MVC_SportGoods.Controllers.SportGoodsController|Critical Log
2020-02-17 11:27:26.9573|TRACE|MVC_SportGoods.Controllers.SportGoodsController|Trace Log
2020-02-17 11:27:26.9573|DEBUG|MVC_SportGoods.Controllers.SportGoodsController|Debug Log
2020-02-17 11:27:26.9629|INFO|MVC_SportGoods.Controllers.SportGoodsController|Information Log
2020-02-17 11:27:26.9629|WARN|MVC_SportGoods.Controllers.SportGoodsController|Warning Log
2020-02-17 11:27:26.9629|ERROR|MVC_SportGoods.Controllers.SportGoodsController|Error Log
2020-02-17 11:27:26.9629|FATAL|MVC_SportGoods.Controllers.SportGoodsController|Critical Log
